[START] 'DTD LIVE Table_0924.mp4' 분석을 시작합니다. (ID: DTD_LIVE_Table_0924_mp4_2025-06-27T05:14:10.539Z)
Time: 150.00s | Score: 117.50 | Status: 선명
Time: 150.50s | Status: 얼굴 미검출
Time: 151.00s | Status: 얼굴 미검출
Time: 151.50s | Status: 얼굴 미검출
Time: 152.00s | Status: 얼굴 미검출
Time: 152.50s | Status: 얼굴 미검출
Time: 153.00s | Score: 93.55 | Status: 선명
Time: 153.50s | Score: 216.28 | Status: 선명
Time: 154.00s | Score: 179.17 | Status: 선명
Time: 154.50s | Score: 155.89 | Status: 선명
Time: 155.00s | Score: 148.09 | Status: 선명
Time: 155.50s | Score: 122.70 | Status: 선명
Time: 156.00s | Score: 120.28 | Status: 선명
Time: 156.50s | Score: 182.26 | Status: 선명
Time: 157.00s | Score: 148.00 | Status: 선명
Time: 157.50s | Score: 113.08 | Status: 선명
Time: 158.00s | Score: 112.56 | Status: 선명
Time: 158.50s | Score: 103.38 | Status: 선명
Time: 159.00s | Score: 167.10 | Status: 선명
Time: 159.50s | Score: 177.86 | Status: 선명
Time: 160.00s | Score: 153.41 | Status: 선명
Time: 160.50s | Score: 209.50 | Status: 선명
Time: 161.00s | Score: 192.90 | Status: 선명
Time: 161.50s | Score: 206.17 | Status: 선명
Time: 162.00s | Score: 192.95 | Status: 선명
Time: 162.50s | Score: 189.59 | Status: 선명
Time: 163.00s | Score: 153.08 | Status: 선명
Time: 163.50s | Score: 120.68 | Status: 선명
Time: 164.00s | Score: 89.56 | Status: 선명
Time: 164.50s | Score: 146.44 | Status: 선명
Time: 165.00s | Score: 149.51 | Status: 선명
Time: 165.50s | Score: 149.33 | Status: 선명
Time: 166.00s | Status: 얼굴 미검출
Time: 166.50s | Status: 얼굴 미검출
Time: 167.00s | Status: 얼굴 미검출
Time: 167.50s | Status: 얼굴 미검출
Time: 168.00s | Status: 얼굴 미검출
Time: 168.50s | Status: 얼굴 미검출
Time: 169.00s | Status: 얼굴 미검출
Time: 169.50s | Status: 얼굴 미검출
Time: 170.00s | Status: 얼굴 미검출
Time: 170.50s | Status: 얼굴 미검출
Time: 171.00s | Status: 얼굴 미검출
Time: 171.50s | Status: 얼굴 미검출
Time: 172.00s | Status: 얼굴 미검출
Time: 172.50s | Score: 213.00 | Status: 선명
Time: 173.00s | Score: 224.46 | Status: 선명
Time: 173.50s | Score: 207.82 | Status: 선명
Time: 174.00s | Score: 202.24 | Status: 선명
Time: 174.50s | Score: 209.93 | Status: 선명
Time: 175.00s | Score: 221.60 | Status: 선명
Time: 175.50s | Score: 212.80 | Status: 선명
Time: 176.00s | Score: 213.86 | Status: 선명
Time: 176.50s | Status: 얼굴 미검출
Time: 177.00s | Status: 얼굴 미검출
Time: 177.50s | Status: 얼굴 미검출
Time: 178.00s | Status: 얼굴 미검출
Time: 178.50s | Status: 얼굴 미검출
Time: 179.00s | Status: 얼굴 미검출
Time: 179.50s | Status: 얼굴 미검출
Time: 180.00s | Status: 얼굴 미검출
Time: 180.50s | Status: 얼굴 미검출
Time: 181.00s | Status: 얼굴 미검출
Time: 181.50s | Status: 얼굴 미검출
Time: 182.00s | Score: 33.48 | Status: 흐림
Time: 182.50s | Score: 19.40 | Status: 흐림
Time: 183.00s | Status: 얼굴 미검출
Time: 183.50s | Status: 얼굴 미검출
Time: 184.00s | Status: 얼굴 미검출
Time: 184.50s | Status: 얼굴 미검출
Time: 185.00s | Status: 얼굴 미검출
Time: 185.50s | Score: 477.10 | Status: 선명
Time: 186.00s | Score: 364.62 | Status: 선명
Time: 186.50s | Score: 40.15 | Status: 흐림
Time: 187.00s | Score: 27.65 | Status: 흐림
Time: 187.50s | Status: 얼굴 미검출
Time: 188.00s | Status: 얼굴 미검출
Time: 188.50s | Status: 얼굴 미검출
Time: 189.00s | Status: 얼굴 미검출
Time: 189.50s | Status: 얼굴 미검출
Time: 190.00s | Status: 얼굴 미검출
Time: 190.50s | Status: 얼굴 미검출
Time: 191.00s | Status: 얼굴 미검출
Time: 191.50s | Status: 얼굴 미검출
Time: 192.00s | Status: 얼굴 미검출
Time: 192.50s | Status: 얼굴 미검출
Time: 193.00s | Status: 얼굴 미검출
Time: 193.50s | Score: 71.59 | Status: 선명
Time: 194.00s | Score: 107.29 | Status: 선명
Time: 194.50s | Score: 84.37 | Status: 선명
Time: 195.00s | Score: 109.55 | Status: 선명
Time: 195.50s | Score: 52.79 | Status: 선명
Time: 196.00s | Score: 96.23 | Status: 선명
Time: 196.50s | Score: 53.13 | Status: 선명
Time: 197.00s | Score: 57.55 | Status: 선명
Time: 197.50s | Status: 얼굴 미검출
Time: 198.00s | Status: 얼굴 미검출
Time: 198.50s | Status: 얼굴 미검출
Time: 199.00s | Status: 얼굴 미검출
Time: 199.50s | Status: 얼굴 미검출
Time: 200.00s | Status: 얼굴 미검출
Time: 200.50s | Status: 얼굴 미검출
Time: 201.00s | Status: 얼굴 미검출
Time: 201.50s | Status: 얼굴 미검출
Time: 202.00s | Status: 얼굴 미검출
Time: 202.50s | Score: 72.56 | Status: 선명
Time: 203.00s | Score: 70.88 | Status: 선명
Time: 203.50s | Score: 52.40 | Status: 선명
Time: 204.00s | Score: 60.21 | Status: 선명
Time: 204.50s | Score: 62.93 | Status: 선명
Time: 205.00s | Score: 30.74 | Status: 흐림
Time: 205.50s | Score: 34.49 | Status: 흐림
Time: 206.00s | Score: 64.42 | Status: 선명
Time: 206.50s | Score: 64.16 | Status: 선명
Time: 207.00s | Score: 63.73 | Status: 선명
Time: 207.50s | Score: 22.96 | Status: 흐림
Time: 208.00s | Status: 얼굴 미검출
Time: 208.50s | Score: 84.30 | Status: 선명
Time: 209.00s | Score: 78.28 | Status: 선명
Time: 209.50s | Score: 76.58 | Status: 선명
Time: 210.00s | Score: 15.37 | Status: 흐림
Time: 210.50s | Score: 53.19 | Status: 선명
Time: 211.00s | Score: 11.31 | Status: 흐림
Time: 211.50s | Score: 21.19 | Status: 흐림
Time: 212.00s | Status: 얼굴 미검출
Time: 212.50s | Score: 35.87 | Status: 흐림
