[START] 'LUXON Table_0726.mp4' 분석을 시작합니다. (ID: LUXON_Table_0726_mp4_2025-06-27T09:23:46.556Z)
Time: 275.00s | Score: 198.61 | Status: 선명
Time: 275.50s | Score: 210.28 | Status: 선명
Time: 276.00s | Score: 135.17 | Status: 선명
Time: 276.50s | Score: 130.27 | Status: 선명
Time: 277.00s | Score: 174.35 | Status: 선명
Time: 277.50s | Score: 165.71 | Status: 선명
Time: 278.00s | Score: 142.11 | Status: 선명
Time: 278.50s | Score: 137.27 | Status: 선명
Time: 279.00s | Score: 131.10 | Status: 선명
Time: 279.50s | Score: 137.43 | Status: 선명
Time: 280.00s | Score: 158.62 | Status: 선명
Time: 280.50s | Score: 137.58 | Status: 선명
Time: 281.00s | Score: 140.85 | Status: 선명
Time: 281.50s | Score: 155.52 | Status: 선명
Time: 282.00s | Score: 196.89 | Status: 선명
Time: 282.50s | Score: 140.18 | Status: 선명
Time: 283.00s | Score: 145.38 | Status: 선명
Time: 283.50s | Score: 162.70 | Status: 선명
Time: 284.00s | Status: 미검출
Time: 284.50s | Status: 미검출
Time: 285.00s | Status: 미검출
Time: 285.50s | Status: 미검출
Time: 286.00s | Status: 미검출
Time: 286.50s | Status: 미검출
Time: 287.00s | Status: 미검출
Time: 287.50s | Status: 미검출
Time: 288.00s | Status: 미검출
Time: 288.50s | Status: 미검출
Time: 289.00s | Status: 미검출
Time: 289.50s | Status: 미검출
Time: 290.00s | Status: 미검출
Time: 290.50s | Status: 미검출
Time: 291.00s | Status: 미검출
Time: 291.50s | Status: 미검출
Time: 292.00s | Status: 미검출
Time: 292.50s | Status: 미검출
